TEAM_NAME,FG3M,FG3A,FG3_PCT,W_RANK,SEASON,year,Champion
Denver Nuggets,1039,2944,0.353,10,2021-22,2021-22,Golden State Warriors
Detroit Pistons,925,2838,0.326,28,2021-22,2021-22,Golden State Warriors
Golden State Warriors,1176,3231,0.364,3,2021-22,2021-22,Golden State Warriors
Houston Rockets,1105,3170,0.349,30,2021-22,2021-22,Golden State Warriors
Indiana Pacers,997,2899,0.344,26,2021-22,2021-22,Golden State Warriors
LA Clippers,1047,2802,0.374,18,2021-22,2021-22,Golden State Warriors
Los Angeles Lakers,982,2826,0.347,23,2021-22,2021-22,Golden State Warriors
Memphis Grizzlies,945,2679,0.353,2,2021-22,2021-22,Golden State Warriors
Miami Heat,1114,2936,0.379,3,2021-22,2021-22,Golden State Warriors
Milwaukee Bucks,1153,3151,0.366,6,2021-22,2021-22,Golden State Warriors
Minnesota Timberwolves,1211,3386,0.358,12,2021-22,2021-22,Golden State Warriors
New Orleans Pelicans,873,2629,0.332,20,2021-22,2021-22,Golden State Warriors
New York Knicks,1082,3029,0.357,19,2021-22,2021-22,Golden State Warriors
Oklahoma City Thunder,991,3066,0.323,27,2021-22,2021-22,Golden State Warriors
Orlando Magic,999,3022,0.331,29,2021-22,2021-22,Golden State Warriors
Philadelphia 76ers,950,2608,0.364,6,2021-22,2021-22,Golden State Warriors
Phoenix Suns,951,2616,0.364,1,2021-22,2021-22,Golden State Warriors
